id,message_type,masked_addressees,masked_author,content,author_type,direction,external_id,external_timestamp,masked_from_addr,is_deleted,last_status,last_status_timestamp,rendered_content,source_type,uuid,inserted_at,updated_at
225827003,text,8316157823254039726,9814839641451596,छठे माह के बच्चे को क्या दाल का पानी पीला सकते हैं,OWNER,inbound,ABEGkYmCWHJiAhAYMP42_69FGA2CoT8e0Igw,9/9/2021 17:25:00,360699995903664615,,,,,CHANNEL_MESSAGE,4e3e6cbd-957f-6fc6-0a31-352359ca0000,9/9/2021 17:25:00,9/9/2021 17:25:00
290238495,text,8316157823254039726,25781471030768533,Ha ek per normal hai,OWNER,inbound,ABEGkYh4aZgWAhCc0KJxm2sPNBWXkl8UYqXC,6/1/2022 8:26:28,1924410226241906500,,,,,CHANNEL_MESSAGE,26cfb3d1-7367-c012-7e5e-f3aedf79e2f1,6/1/2022 8:26:28,6/1/2022 8:26:28
433591120,text,5867031364740438706,31304295617233509,"⚠️निम्नलिखित लेबर (प्रसव पीड़ा) के लक्षण हैं ⚠️ 

जब आपके प्रसव की तारीख़ पास आने वाली हो, तो इन बातों का ध्यान रखें 

⚠️पेट दर्द या संकुचन महसूस होना जो तेज़ी से बढ़ता है
⚠️ योनि से खूनी, चिपचिपा स्राव
📍 आशा/एएनएम से संपर्क करें या 108 🚑 पर कॉल करें या अपने स्वयं के वाहन  की व्यवस्था करें, सभी दस्तावेज़ों के साथ अपना तैयार किया हुआ बैग लें और अस्पताल पहुँचें 💼",STACK,outbound,gBEGkZgSFlVRAglbUmpDqPhtRgo,,4454300900215722365,,read,5/24/2023 9:46:59,,CHANNEL_MESSAGE,9b888dc2-570d-5296-91b2-422fd74ea6db,5/24/2023 9:46:59,5/24/2023 9:47:00
286769759,voice,8316157823254039726,34062290787406994,,OWNER,inbound,ABEGkZORIpkWAghHCYh-gowJvw,5/10/2022 15:43:33,2372380464914471916,,,,,CHANNEL_MESSAGE,d69f4904-7f50-7738-aa15-ffdf2e19cef0,5/10/2022 15:43:34,5/10/2022 15:43:34
810101715,text,8316157823254039726,37128544240125839,Hk,OWNER,inbound,wamid.HBgMOTE5NzAxOTc5MjYxFQIAEhggQ0Y0OEJGOUM1NjRBNEI0NTJDQzM1OTZDNDI5RDJCM0EA,3/31/2024 16:36:11,7716078790004740279,,,,,CHANNEL_MESSAGE,56fdc7e3-d5c4-383a-4249-af5320759c0c,3/31/2024 16:36:12,3/31/2024 16:36:12
562500718,text,6840064760406764152,43763456781777221,hello,OPERATOR,outbound,gBEGkZF2iIYZAgkLZpOOVx5JQX4,,4454300900215722365,,read,9/27/2023 12:49:23,,CHANNEL_MESSAGE,98f18815-6aa7-732c-a109-f3265378d33e,9/27/2023 12:49:23,9/27/2023 12:49:24
200616477,text,3301580771866412427,44102066842684651,Khri sarkari scheme aa ji,OWNER,inbound,ABEGkZd5cgOJAhDNLGabLS98ypJTnsVAFkfK,5/28/2021 15:57:33,99406278043849801,,,,,CHANNEL_MESSAGE,fbb1d53e-84c0-9c5a-7f79-4fd2ec7f9a95,5/28/2021 15:57:33,5/28/2021 15:57:33
424170823,text,8316157823254039726,44286486964367919,C,OWNER,inbound,ABEGkZeAEHeYAhAJEZ_Q1gQ_MmcptbBegrqA,5/16/2023 5:46:31,3566013831381106946,,,,,CHANNEL_MESSAGE,3551ef53-3305-fd58-fd09-a7d566fdd76b,5/16/2023 5:46:31,5/16/2023 5:46:31
743272058,text,8316157823254039726,48127031582588528,Stop,OWNER,inbound,ABEGkZAUcEUmAhBAj4Um4kEx7sXa5PVnDI3m,2/11/2024 2:40:02,308885682948193731,,,,,CHANNEL_MESSAGE,cf757241-e62d-0c3e-8f08-c91381e7d6df,2/11/2024 2:40:03,2/11/2024 2:40:03
803766118,interactive,5885124306610200857,57589099373163613,,STACK,outbound,wamid.HBgMOTE4Njg1ODc3MDc0FQIAERgSOEMzRjFBRjIxRDVGMzFENkY3AA==,,4454300900215722365,,read,3/26/2024 14:23:49,,CHANNEL_MESSAGE,a52e72a8-0b1b-370c-1c10-e303bb9a2cd2,3/26/2024 14:23:49,3/26/2024 14:23:50
484469172,interactive,6322134787894923333,57589099373163613,,STACK,outbound,gBEGkXB1l5lHAgmIcRiZJkq1Jxw,,4454300900215722365,,read,8/16/2023 12:15:05,,CHANNEL_MESSAGE,486ad13f-242a-0c03-d1c7-bf61b4a5f856,8/16/2023 12:15:05,8/16/2023 12:15:06
727858994,text,1789898908474598531,57589099373163613,"మీ కుటుంబానికి ఈరోజు సందేశం 👉:

జన్మనిచ్చిన వెంటనే, ప్రాధాన్యంగా ప్రసవం అయిన గంటలోపే బిడ్డకి తల్లిపాలు ఇవ్వడం ప్రారంభించేటట్టు చూసుకోండి.
✅ మొదట తయారయిన పసుపుపచ్చటి పాలు మీ బిడ్డకి చాలా మంచివి. ఇవి మీ బిడ్డకి రోగనిరోధక శక్తిని కలిగిస్తాయి మరియు అనేక వ్యాధుల నుండి రక్షిస్తాయి!
🚫 తేనే, పంచదార నీళ్ళు, గ్రైప్ వాటర్, 
ఆవు పాలు లేదా ఏదైనా పశువు పాలు తాగించకండి. ఎందుకంటే దీని వల్ల విరోచనాలు మరియు కాలక్రమేనా సరిగ్గా ఎదగలేకపోవటానికి, పోషకాహారలోపానికి  దారి తీస్తుంది. 
తల్లిపాలు బిడ్డ ఎదుగుదలకు అన్ని పోషకాలను అందిస్తాయి, రోగనిరోధక శక్తిని పెంపొందిస్తాయి మరియు సులభంగా జీర్ణమవుతాయి.

బిడ్డకి అడిగినప్పుడు లేదా కనీసం 2-3 గంటలకొకసారి తల్లిపాలు తప్పనిసరిగా ఇవ్వాలి, రాత్రిపూట కూడా.

బిడ్డకి తల్లిపాలు ఇవ్వటానికి సౌకర్యమైన స్థానాన్ని ఎంచుకోండి: కూర్చోవడం లేదా పడుకోవడం. 
తల్లిపాలు ఇచ్చే స్థానాల  గురించి మమ్మల్ని ప్రశ్న అడగండి, మా ఆరోగ్య బృందం మీకు త్వరలో  సమాధానం ఇస్తారు.",STACK,outbound,gBEGkZBZlFRpAgmmklev1xmC5i4,,4454300900215722365,,read,1/25/2024 4:52:18,,CHANNEL_MESSAGE,1d16b5af-3b2b-ede2-545e-26fc20ac0245,1/25/2024 4:52:18,1/25/2024 4:52:19
